Which of the following types of ticketed experience have you *attended in the past 5 years*?,"And overall, *how often do you go* to these types of activities?",Who do you typically *spend your free time with*?,And would you mind telling us *your age*?,"This experience is *inspired by TV game shows and escape rooms*.

It* *combines *thrills* with physical and mental *challenges*.

You go to a *purpose-built venue* with *2 to 15 other people*, 
and you all play *a series of minigames*. 

Right off the bat, does this *sound like something you would do*?",Did that description *make you think of any* of the following themes?,Did that description *make you think of any* of the following themes?,"*Welcome to Prison Island.*

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame*.

To what extent *would you like to go *to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

How do you think it compares *versus Prison Island*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go *to this?","*Welcome to Prison Island*.

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame.*

How do you think it compares *versus* *BRKThrough*?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*,

and whoever loses gets covered in paint!

To what extent *would you like to go* to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame.*

How do you think it compares *versus Glow or Go*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go* to this?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*, 

and whoever loses gets covered in paint!

How do you think it compares *versus BRKThrough*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?",And which one do you think *most people would prefer*?,And which one do you think *most people would prefer*?,Who would you expect to *have a better time at Prison Island*?,And how much would you expect *one ticket* *for* *Prison Island to cost*?,Who would you expect to *have a better time at BRKThrough*?,And how much would you expect *one ticket* *for* *BRKThrough to cost*?,Who would you expect to *have a better time at Glow or Go*?,And how much would you expect *one ticket* *for* *Glow or Go to cost*?,"*Alright that's all! *No more questions from our side.

Your* $15 gift code is on the next page*.

Make sure to *hit the button to record your answers *and complete the survey.

If you'd like to *share any closing thoughts*, type them here!",idu,c,ct,g,v,j,Submitted At,Token
"*Music Concerts*, *Comedy Shows*, *Exhibitions / Museums*, *Movies / Cinema*, *Sports / Competitions*, *Theatre / Performances*, *Immersive Experiences*, *Talks / Conferences*",*Every other month*,"*My child(ren)*, *Partner*, *Friends* - from *Elsewhere*",*35-44*,*Just found out* but *not for me*,,"*Heist*, *Videogame*",1,3,,,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,"*Work groups / Teambuilding*, *Tourists*, *Young groups of friends*",55,,,,,,98373197,16,236,a,v,j,6/7/2026 15:11:25,cg02l5g9w92p5jvlxtq3jcg02d3z0k16
"*Immersive Experiences*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Music Concerts*, *Comedy Shows*, *Movies / Cinema*, *Theatre / Performances*",*Once a week*,"*Sibling(s)*, *Friends* - from *Elsewhere*, *Partner*, *Parent(s)*",*25-34*,"*I knew this *and am* interested*, I've *done this myself *in the past, I know *people who would* *like* this","*Videogame*, *Space*, *Arcade*",,,,,,4,2,,,,,Glow or Go is *slightly better*,,,*Glow or Go*,,,,,"*Young groups of friends*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*",20,,45677773,16,236,c,n,l,6/7/2026 15:22:14,y630i11fmj8yqdbtg14y630iyysh4nvb
"*Exhibitions / Museums*, *Immersive Experiences*, *Sports / Competitions*, *Theatre / Performances*, *Music Concerts*, *Talks / Conferences*, *Nightlife / Festivals*, *Movies / Cinema*",*Once or twice a month*,"*Partner*, *My child(ren)*, *Friends* - from *Elsewhere*",*55-64*,"Don't know,* not sure I get it*",,Like escape room,,,,,,,3,2,,,,,,,,,,,,,,58919744,16,236,d,n,j,1/1/0001 0:00:00,g7tv3jb8woyzrs97vg7tv3jt699lv6a6
"*Exhibitions / Museums*, *Immersive Experiences*, *Sports / Competitions*, *Theatre / Performances*, *Music Concerts*, *Talks / Conferences*, *Nightlife / Festivals*, *Movies / Cinema*",*Once or twice a month*,"*Partner*, *My child(ren)*, *Friends* - from *Elsewhere*",*55-64*,"Don't know,* not sure I get it*",,Like escape room,,,,,,,3,2,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Families (only adults)*, *Mature groups of friends*, *Young groups of friends*",40,,,,58919744,16,236,d,n,j,6/7/2026 15:29:18,g7tv3jb8woyzrs97vg7tv3jt699lv6a6
"*Music Concerts*, *Theatre / Performances*, *Movies / Cinema*, *Exhibitions / Museums*, *Talks / Conferences*, *Nightlife / Festivals*",*Once or twice a month*,"*Partner*, *My child(ren)*, *Friends* - from *Elsewhere*",*55-64*,"Don't know,* not sure I get it*","*Jail*, *Clocks*, *Arcade*, *Heist*, *Videogame*",,,,2,3,,,,,,Prison Island is *slightly better*,,,*BRKThrough*,,,,"*Families (with kids)*, *Friend gatherings / Birthdays*, *Young groups of friends*, *Tourists*",30,,,"A clearer name of each game, perhaps prefacing them in the description, would help me remember them more when I couldn't see the colors/images.",26073683,6,236,b,v,l,6/7/2026 15:33:52,nmxtec4b8cl7adyyvr1al85mnmxtec4k
"*Music Concerts*, *Comedy Shows*, *Theatre / Performances*, *Movies / Cinema*, *Sports / Competitions*",*Every other month*,,*25-34*,*Just found out* and am *interested*,"*Arcade*, *Videogame*, *Sports*",,,,4,,,,,,,BRKThrough is *slightly better*,,,,,,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*",30,,,,52811121,21,236,b,v,l,6/7/2026 16:15:40,psq3fki72rv9r814xx2xecpsq3fki5gm
"*Music Concerts*, *Comedy Shows*, *Movies / Cinema*, *Exhibitions / Museums*, *Theatre / Performances*, *Immersive Experiences*, *Sports / Competitions*",*Every other week*,,*35-44*,*Just found out* and am *interested*,,"*Heist*, *Space*, *Videogame*, *Clocks*, *Arcade*",,,,,,,5,3,,,,,,,,,,,,,,100367894,21,236,d,v,j,1/1/0001 0:00:00,8qjr837oxmn4at4b58qjpy66zwoxks9k
"*Music Concerts*, *Comedy Shows*, *Movies / Cinema*, *Exhibitions / Museums*, *Theatre / Performances*, *Immersive Experiences*, *Sports / Competitions*",*Every other week*,,*35-44*,*Just found out* and am *interested*,,"*Heist*, *Space*, *Videogame*, *Clocks*, *Arcade*",,,,,,,5,3,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,*Families (with kids)*,25,,,,100367894,21,236,d,v,j,6/7/2026 16:37:32,8qjr837oxmn4at4b58qjpy66zwoxks9k
"*Comedy Shows*, *Music Concerts*, *Nightlife / Festivals*, *Movies / Cinema*",*Every other week*,"Other* family*, *Friends* - from *Work*",*35-44*,*I knew this *and am* interested*,,"*Videogame*, *Heist*, *Arcade*",,,,,3,,,,,,They're *about the same*,,,*Glow or Go*,,,,,"*Friend gatherings / Birthdays*, *Families (with kids)*",50,,34591933,52,236,c,v,j,6/7/2026 16:38:22,xz8dq53cweab8vrlxz8dqzz0plcvhjud
"*Immersive Experiences*, *Sports / Competitions*, *Comedy Shows*, *Movies / Cinema*, *Music Concerts*, *Theatre / Performances*, *Nightlife / Festivals*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*55-64*,"*Just found out* and am *interested*, I know *people who would* *like* this",,*Sports*,,,,,3,3,,,,,,,,*Glow or Go*,,,,,,20,,83681636,52,236,c,v,n,6/7/2026 16:39:13,3ow2m2qgm3uzeyl3ow2mz8zw9d60qumr
"*Sports / Competitions*, *Nightlife / Festivals*, *Theatre / Performances*, *Immersive Experiences*, *Exhibitions / Museums*, *Movies / Cinema*",*Once or twice a month*,"*My child(ren)*, *Partner*",*35-44*,*I knew this *and am* interested*,,"*Videogame*, *Sports*",,,,,4,3,,,,,,They're *about the same*,,*BRKThrough*,,,"*Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Young groups of friends*",30,,,,57628096,21,236,c,n,n,6/7/2026 16:39:53,f61gd507wn93whf61g90kcr2fq10jvr8
"*Music Concerts*, *Immersive Experiences*",*Every other month*,"*Partner*, *Friends* - from *Elsewhere*, *Sibling(s)*",*35-44*,*I knew this *and am* interested*,"*Videogame*, *Heist*, *Space*, *Jail*, *Arcade*, *Bowling Alley*, *Fairground*",,,,,,,,5,5,,,,,,,,,,,,,,69226822,21,236,d,v,l,1/1/0001 0:00:00,e77emu0rwlpz5mty81e77emos6k1u2ek
"*Music Concerts*, *Immersive Experiences*",*Every other month*,"*Partner*, *Friends* - from *Elsewhere*, *Sibling(s)*",*35-44*,*I knew this *and am* interested*,"*Videogame*, *Heist*, *Space*, *Jail*, *Arcade*, *Bowling Alley*, *Fairground*",,,,,,,,5,5,,,*Glow or Go *is* much better*,,,,,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *School trips*",20,,,,69226822,21,236,d,v,l,6/7/2026 16:44:26,e77emu0rwlpz5mty81e77emos6k1u2ek
"*Nightlife / Festivals*, *Music Concerts*, *Comedy Shows*, *Theatre / Performances*, *Sports / Competitions*, *Movies / Cinema*",*Once or twice a month*,"*Friends* - from *School*, *Sibling(s)*, *Partner*, *My child(ren)*, Other* family*",*65-74*,"I know *people who would* *like* this, *I knew this *and am* interested*",,"*Heist*, *Sports*, *Dance*",,,2,2,,,,,,They're *about the same*,,,,,,,"*Families (only adults)*, *Young groups of friends*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Families (with kids)*, *Work groups / Teambuilding*",,,,,46135630,16,236,b,v,j,6/7/2026 16:45:39,kwu3yvjzkgdrgffu8oc7gkwu3yvqxdw8
"*Nightlife / Festivals*, *Immersive Experiences*, *Exhibitions / Museums*, *Music Concerts*, *Sports / Competitions*",*Once or twice a month*,,*45-54*,Actually I *really enjoy these*,,"*Clocks*, *Heist*, *Fairground*, *Sports*",,,,,5,3,,,,,Glow or Go is *slightly better*,,,*Glow or Go*,,,,,"*Mature groups of friends*, *Young groups of friends*, *Work groups / Teambuilding*, *Tourists*, *Families (only adults)*",50,,100257464,52,236,c,v,n,6/7/2026 16:46:26,0pkpfrmwuz4rhvtatm90pkpf1kz5yrtp
"*Exhibitions / Museums*, *Music Concerts*, *Movies / Cinema*, *Nightlife / Festivals*, *Theatre / Performances*",*Every other month*,*Sibling(s)*,*35-44*,*Just found out* and am *interested*,,"*Heist*, *Space*, *Videogame*",,,5,3,,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,,"*Mature groups of friends*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Young groups of friends*",30,,,,79901958,16,236,b,n,n,6/7/2026 16:50:09,ewvs8526joyvrvt194cmziyewvs85zqy
"*Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Immersive Experiences*, *Sports / Competitions*, *Exhibitions / Museums*, *Nightlife / Festivals*",*Once a week*,*Friends* - from *Elsewhere*,*35-44*,Actually I *really enjoy these*,,"*Clocks*, *Heist*, *Videogame*, *Arcade*",,,3,4,,,,,,*Prison Island *is* much better*,,,*Prison Island*,,"*Work groups / Teambuilding*, *Tourists*, *Families (only adults)*, *School trips*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Young groups of friends*",55,,,,,,98761700,6,236,b,v,j,6/7/2026 16:55:51,3yy68pns2o4zi8svyp3upq3yy68hqy33
*Immersive Experiences*,*Once or twice a year*,*My child(ren)*,*25-34*,*Just found out* and am *interested*,,*Clocks*,4,3,,,,,,,,They're *about the same*,,,*BRKThrough*,,,,*Mature groups of friends*,25,,,,96704039,21,236,a,v,n,6/7/2026 16:57:07,nmxz4hz38ed4olh5jnmxz4hzuo14kx7v
"*Immersive Experiences*, *Nightlife / Festivals*, *Movies / Cinema*, *Exhibitions / Museums*, *Music Concerts*",*Once or twice a year*,"*Partner*, *Friends* - from *Elsewhere*",*45-54*,I've *done this myself *in the past,,"*Videogame*, *Heist*",,,,,2,4,,,,,,They're *about the same*,,*Glow or Go*,,,,,,50,,38080460,21,236,c,v,j,6/7/2026 17:01:27,vte3rt6gf8051kkvte3rgmg16a1tt8ms
"*Sports / Competitions*, *Movies / Cinema*, *Immersive Experiences*, *Nightlife / Festivals*",*Every other week*,,*35-44*,*Just found out* and am *interested*,,"*Ocean*, *Heist*",,,,,5,5,,,,,They're *about the same*,,,*BRKThrough*,,,"*Work groups / Teambuilding*, *Friend gatherings / Birthdays*",35,,,,54506633,6,236,c,v,j,6/7/2026 17:02:00,9bl7ccchoas7p49blbi6n3mxx0wtbobm
"*Music Concerts*, *Movies / Cinema*, *Immersive Experiences*, *Exhibitions / Museums*",*Once a week*,,*65-74*,*I knew this* but *not for me*,,,,,,,1,1,,,,,,Glow or Go is *slightly better*,,,,,"*Work groups / Teambuilding*, *Young groups of friends*",25,,,,100114879,52,236,c,n,n,6/7/2026 17:02:05,91pj44vc30v1wei36yr91plmwh58h217
*Movies / Cinema*,*Every other month*,,*35-44*,I know *people who would* *like* this,,"*Videogame*, *Space*, *Sports*, *Arcade*, *Clocks*",,,5,,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,"*Tourists*, *Families (only adults)*, *Friend gatherings / Birthdays*, *Young groups of friends*",25,,,,,,94316728,21,236,b,v,j,6/7/2026 17:06:05,068l6vuxmtro60moe3n068l6vgnxb1iu
"*Music Concerts*, *Immersive Experiences*, *Movies / Cinema*, *Theatre / Performances*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*45-54*,"*Just found out* but *not for me*, *I knew this* but *not for me*, I know *people who would* *like* this",,No,,,,,,,3,3,,,,,,,,,,,,,,27761550,16,236,d,v,j,1/1/0001 0:00:00,7sy1m5mi7ks4rtdwg6t17sy1m7hu5oaw
"*Music Concerts*, *Immersive Experiences*, *Movies / Cinema*, *Theatre / Performances*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*45-54*,"*Just found out* but *not for me*, *I knew this* but *not for me*, I know *people who would* *like* this",,No,,,,,,,3,3,,,,They're *about the same*,,*BRKThrough*,,,"*Families (with kids)*, *Young groups of friends*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*",35,,,N/A,27761550,16,236,d,v,j,6/7/2026 17:17:45,7sy1m5mi7ks4rtdwg6t17sy1m7hu5oaw
*Exhibitions / Museums*,*Once or twice a year*,"*Friends* - from *School*, *Friends* - from *Work*, *Partner*",*35-44*,I've *done this myself *in the past,,"*Bowling Alley*, *Sports*, *Videogame*, *Dance*, *Space*, *Fairground*, *Ocean*, *Arcade*",3,4,,,,,,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,,"*Work groups / Teambuilding*, *Mature groups of friends*, *Tourists*, *Young groups of friends*, *Friend gatherings / Birthdays*",45,,,,39694716,6,236,a,v,n,6/7/2026 17:35:05,clyph8ijazw4pm72h3clypnm53m36aoe
"*Theatre / Performances*, *Comedy Shows*, *Music Concerts*, *Exhibitions / Museums*, *Immersive Experiences*, *Sports / Competitions*, *Movies / Cinema*",*Once a week*,"*Partner*, *Friends* - from *Elsewhere*, Other* family*",*55-64*,"I've *done this myself *in the past, Actually I *really enjoy these*",,"*Heist*, *Space*, *Ocean*, *Arcade*, *Dance*, *Videogame*, *Bowling Alley*, *Sports*",4,3,,,,,,,,They're *about the same*,,,*BRKThrough*,,,,"*Families (with kids)*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*",25,,,,56161788,52,236,a,n,j,6/7/2026 17:49:42,oal3mfbcep3y79p9i3oal3m7w9m2teqw
"*Music Concerts*, *Comedy Shows*, *Movies / Cinema*, *Nightlife / Festivals*, *Immersive Experiences*, *Theatre / Performances*, *Exhibitions / Museums*",*Every other week*,"*Sibling(s)*, *Friends* - from *Elsewhere*",*25-34*,*Just found out* and am *interested*,,*Heist*,4,3,,,,,,,,Prison Island is *slightly better*,,,,,,,"*Young groups of friends*, *Families (with kids)*, *School trips*",35,,,,30180699,6,236,a,n,j,6/7/2026 17:49:52,xgo3rnw9wugpg34ornohxgohvi0t2z1l
"*Comedy Shows*, *Movies / Cinema*, *Exhibitions / Museums*, *Theatre / Performances*, *Talks / Conferences*",*Once or twice a month*,,*55-64*,*I knew this* but *not for me*,,,,,2,,,,,,,,,,,,,,,,,,,100697765,16,236,b,n,j,6/7/2026 17:54:15,kklk279ojjc6b3a96skklk270243uwe4
"*Movies / Cinema*, *Theatre / Performances*, *Sports / Competitions*",*Once or twice a month*,,*35-44*,*I knew this *and am* interested*,"*Sports*, *Videogame*, *Bowling Alley*, *Arcade*, *Clocks*, *Space*",,,,5,5,,,,,,*Prison Island *is* much better*,,,,,,,*Work groups / Teambuilding*,20,,,,85279866,21,236,b,n,l,6/7/2026 18:02:14,atv8k2avcqckclnnratv8k2awewnoq9t
"*Comedy Shows*, *Music Concerts*, *Movies / Cinema*, *Immersive Experiences*, *Sports / Competitions*, *Theatre / Performances*, *Exhibitions / Museums*, *Talks / Conferences*, *Nightlife / Festivals*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*25-34*,*Just found out* and am *interested*,,"*Heist*, *Sports*, *Videogame*, *Fairground*",3,,,,,,,,BRKThrough is *slightly better*,,,,*BRKThrough*,,,,"*Friend gatherings / Birthdays*, *Families (with kids)*, *Young groups of friends*, *Work groups / Teambuilding*",45,,,,100117253,6,236,a,n,j,6/7/2026 18:12:55,bxbb16ugad61wx48obxbb16zvc63wfrl
"*Immersive Experiences*, *Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Exhibitions / Museums*, *Comedy Shows*",*Every other month*,,*25-34*,*Just found out* and am *interested*,"*Clocks*, *Videogame*",,,,,,,,4,,,,,,,,,,,,,,,99229496,21,236,d,v,l,1/1/0001 0:00:00,y061c0587cnb2qoy065wzacn1bchays3
"*Immersive Experiences*, *Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Exhibitions / Museums*, *Comedy Shows*",*Every other month*,,*25-34*,*Just found out* and am *interested*,"*Clocks*, *Videogame*",,,,,,,,4,,,,,*BRKThrough *is* much better*,,,,,"*Families (with kids)*, *Tourists*, *Work groups / Teambuilding*, *Young groups of friends*, *Mature groups of friends*, *Families (only adults)*",25,,,,99229496,21,236,d,v,l,6/7/2026 18:35:37,y061c0587cnb2qoy065wzacn1bchays3
"*Movies / Cinema*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Sports / Competitions*, *Music Concerts*",*Every other month*,"Other* family*, *My child(ren)*, *Friends* - from *Elsewhere*",*35-44*,*I knew this* but *not for me*,,"*Arcade*, *Videogame*",3,3,,,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,,60,,,,,,33980220,21,236,a,n,j,6/7/2026 18:38:52,yql4f33ta0498na068tp2yql4f3smaqy
"*Music Concerts*, *Movies / Cinema*, *Immersive Experiences*, *Exhibitions / Museums*",*Once a week*,"*Parent(s)*, *Partner*",*25-34*,"*I knew this *and am* interested*, *Just found out* and am *interested*",,*Videogame*,,,5,4,,,,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,,*Mature groups of friends*,60,,,,38744890,21,236,b,n,n,6/7/2026 18:55:05,ucc5475cnae0rh2cucc547xcjq2baj3t
"*Theatre / Performances*, *Sports / Competitions*, *Immersive Experiences*, *Movies / Cinema*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Music Concerts*",*Once a week*,"*Partner*, *Sibling(s)*, *Friends* - from *Elsewhere*, *Friends* - from *Work*",*25-34*,*Just found out* and am *interested*,,"*Heist*, *Arcade*",,,,,,,5,2,,,,,,,,,,,,,,97184451,21,236,d,v,j,1/1/0001 0:00:00,iq16v59kx0v4y60dniq16v5tcyrk54jd
"*Theatre / Performances*, *Sports / Competitions*, *Immersive Experiences*, *Movies / Cinema*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Music Concerts*",*Once a week*,"*Partner*, *Sibling(s)*, *Friends* - from *Elsewhere*, *Friends* - from *Work*",*25-34*,*Just found out* and am *interested*,,"*Heist*, *Arcade*",,,,,,,5,2,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Work groups / Teambuilding*, *Mature groups of friends*, *Families (only adults)*, *Friend gatherings / Birthdays*, *Families (with kids)*",50,,,,97184451,21,236,d,v,j,6/7/2026 19:02:58,iq16v59kx0v4y60dniq16v5tcyrk54jd
"*Sports / Competitions*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Movies / Cinema*, *Theatre / Performances*, *Immersive Experiences*, *Music Concerts*, *Comedy Shows*, *Talks / Conferences*",*Once or twice a month*,*Friends* - from *Elsewhere*,*55-64*,Actually I *really enjoy these*,,*Heist*,,,,,5,3,,,,,,They're *about the same*,,,,,*Families (only adults)*,60,,,,30213451,6,236,c,v,n,6/7/2026 19:09:43,rrxu120m7w9zsqeijsbcrrxu12adlwhd
"*Music Concerts*, *Comedy Shows*, *Exhibitions / Museums*, *Movies / Cinema*, *Theatre / Performances*",*Every other month*,*Partner*,*35-44*,*Just found out* and am *interested*,,"*Sports*, *Arcade*",,,,,,,2,3,,,,,,,,,,,,,,100534757,21,236,d,v,n,1/1/0001 0:00:00,95jnfpcnzlk29r61jb2y30195jnfpc9n
"*Music Concerts*, *Comedy Shows*, *Exhibitions / Museums*, *Movies / Cinema*, *Theatre / Performances*",*Every other month*,*Partner*,*35-44*,*Just found out* and am *interested*,,"*Sports*, *Arcade*",,,,,,,2,3,,,,They're *about the same*,,*BRKThrough*,,,"*Young groups of friends*, *Work groups / Teambuilding*, *Tourists*",35,,,,100534757,21,236,d,v,n,6/7/2026 19:34:47,95jnfpcnzlk29r61jb2y30195jnfpc9n
"*Theatre / Performances*, *Immersive Experiences*, *Movies / Cinema*, *Sports / Competitions*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Comedy Shows*",*Every other month*,"*My child(ren)*, Other* family*, *Sibling(s)*, *Parent(s)*, *Partner*",*35-44*,*Just found out* and am *interested*,,"*Videogame*, *Arcade*",,,,,2,3,,,,,,,,*Glow or Go*,,,,,,,,99306424,21,236,c,v,n,6/7/2026 19:58:20,ww5vl5173grwww5k2pnrzypkt9ywlzpe
"*Theatre / Performances*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Comedy Shows*",*Every other week*,*Partner*,*45-54*,"*Just found out* and am *interested*, I know *people who would* *like* this, I've *done this myself *in the past, Actually I *really enjoy these*",,"*Heist*, *Arcade*",,,,,5,3,,,,,,They're *about the same*,,*Glow or Go*,,,,,"*Young groups of friends*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Families (with kids)*",20,Love the variety of events/ shows I've attended.,98391406,16,236,c,n,n,6/7/2026 19:58:56,ha1midhbkte4b6ip31ha1midchgy93lz
"*Exhibitions / Museums*, *Theatre / Performances*, *Movies / Cinema*",*Every other week*,"*Partner*, *Friends* - from *Elsewhere*, *Parent(s)*, *Sibling(s)*",*35-44*,I've *done this myself *in the past,,"*Heist*, *Videogame*, *Arcade*",,,,,5,5,,,,,,Glow or Go is *slightly better*,,*Glow or Go*,,,,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*",45,,83395790,6,236,c,v,j,6/7/2026 20:39:23,l6t6adpj3993r1mv0l6t6ade6e95xe7b
"*Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*, *Movies / Cinema*, *Sports / Competitions*, *Immersive Experiences*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*35-44*,*Just found out* and am *interested*,,"*Videogame*, *Space*",,,,,,,4,,,,,,,,,,,,,,,27434827,16,236,d,n,j,1/1/0001 0:00:00,1r9roaudsoluuz080ugy91r9ro3btzac
"*Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*, *Movies / Cinema*, *Sports / Competitions*, *Immersive Experiences*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*35-44*,*Just found out* and am *interested*,,"*Videogame*, *Space*",,,,,,,4,,,,,They're *about the same*,,,,,*Mature groups of friends*,30,,,,27434827,16,236,d,n,j,6/7/2026 21:23:35,1r9roaudsoluuz080ugy91r9ro3btzac
"*Theatre / Performances*, *Sports / Competitions*, *Movies / Cinema*, *Nightlife / Festivals*, *Music Concerts*, *Exhibitions / Museums*",*Once or twice a month*,"Other* family*, *Sibling(s)*, *Parent(s)*, *My child(ren)*, *Friends* - from *Elsewhere*",*45-54*,Actually I *really enjoy these*,,"*Arcade*, *Sports*, *Videogame*, *Bowling Alley*, *Heist*, *Space*, *Dance*, *Ocean*, *Fairground*, *Clocks*",,,,,5,5,,,,,*BRKThrough *is* much better*,,,,,,"*Families (with kids)*, *Mature groups of friends*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *School trips*, *Young groups of friends*, *Families (only adults)*, *Tourists*",50,,,,99916144,16,236,c,v,n,6/7/2026 21:27:53,l971067wwha917a1b6wikl971067wrq3
"*Theatre / Performances*, *Music Concerts*, *Immersive Experiences*, *Nightlife / Festivals*, *Movies / Cinema*, *Exhibitions / Museums*",*Every other week*,,*25-34*,"Actually I *really enjoy these*, I know *people who do* this, I know *people who would* *like* this, *I knew this *and am* interested*",,"*Heist*, *Arcade*, *Fairground*",4,5,,,,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,,"*Young groups of friends*, *Friend gatherings / Birthdays*, *Families (with kids)*, *Work groups / Teambuilding*, *Mature groups of friends*",45,,,,100272769,54,236,a,v,j,6/7/2026 21:35:11,u3nm27alsle86l1vdtvu3nm27alqn2iy
"*Movies / Cinema*, *Music Concerts*, *Exhibitions / Museums*",*Once or twice a month*,,*55-64*,*Just found out* but *not for me*,,Nightmare,,,,,1,,,,,,,They're *about the same*,,,,,*Families (with kids)*,30,,,,98474548,54,236,c,v,n,6/7/2026 22:21:28,b4masj6hlu7jextbb4mal0jd32xpcfuo
*Immersive Experiences*,*Once a week*,*My child(ren)*,*25-34*,"Actually I *really enjoy these*, I know *people who would* *like* this, *I knew this *and am* interested*","*Fairground*, *Jail*, *Videogame*",,,,5,4,,,,,,*Prison Island *is* much better*,,,*Prison Island*,,"*Mature groups of friends*, *Families (only adults)*, *Friend gatherings / Birthdays*",45,,,,,,89104849,21,236,b,n,l,6/7/2026 22:32:34,21mxr3pw15e37x421mc574dkmvjfpbjn
"*Theatre / Performances*, *Movies / Cinema*, *Music Concerts*, *Comedy Shows*",*Every other week*,"*My child(ren)*, Other* family*",*35-44*,*Just found out* and am *interested*,,"*Heist*, *Ocean*, *Sports*, *Dance*, *Videogame*",,,,,5,4,,,,,*BRKThrough *is* much better*,,,*Glow or Go*,,,,,"*Young groups of friends*, *School trips*, *Families (with kids)*",50,,100086145,6,236,c,v,n,6/7/2026 22:50:38,s30vr5ci3j4lgn5m8d7s30vr5u6y9s1b
"*Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Sports / Competitions*, *Nightlife / Festivals*",*Every other month*,*Friends* - from *School*,*18-24*,*Just found out* and am *interested*,,"*Arcade*, *Videogame*",3,4,,,,,,,BRKThrough is *slightly better*,,,,*BRKThrough*,,,,"*Young groups of friends*, *Work groups / Teambuilding*, *Mature groups of friends*",35,,,,98075145,21,236,a,v,j,6/7/2026 22:52:49,jdcrfckgmq1ha3p1erujdcrfcytgdvmc
"*Theatre / Performances*, *Music Concerts*, *Exhibitions / Museums*, *Movies / Cinema*, *Talks / Conferences*",*Once or twice a month*,*My child(ren)*,*35-44*,*Just found out* and am *interested*,,"Tv shows, reality",5,5,,,,,,,BRKThrough is *slightly better*,,,,*BRKThrough*,,,,"*Mature groups of friends*, *Families (only adults)*",40,,,Excited to see this experience!,100539313,52,236,a,n,j,6/7/2026 22:57:52,ulypjd4xxl67xnlgulysziz43i0ajo95
